Id,Name,City,State,lat,lon,County,Users,LoggedInUsers,TakingCourses,InAdmin,TakingTests,ITSOn,S3On
6388,Fenway Health,Boston,MA,42.3554334,-71.060511,Suffolk County,612,165,125,3,122,True,True
6437,Baltimore Medical System,Baltimore,MD,39.2908816,-76.610759,,703,688,165,27,261,False,True
6389,Methodist Sports Medicine,Indianapolis , IN,39.7683331,-86.1583502,Marion County,358,121,87,4,29,False,False
6406,Holyoke Medical Center,Holyoke,MA,42.2071434,-72.60765,Hampden County,730,613,91,61,404,False,False
6407,Summit Pacific Medical Center,Elma,WA,47.0034291,-123.4087692,Grays Harbor County,407,366,131,21,230,False,False
6438,Tampa Family Health Centers,Tampa,FL,27.9477595,-82.458444,Hillsborough County,700,210,12,14,170,False,False
6439,Conway Regional Medical Center,Conway ,AR,35.0886963,-92.4421011,Faulkner County,566,28,16,2,18,True,False
6465,Stonewall Jackson Memorial Hospital,Weston,WV,39.0384274,-80.467313,Lewis County,612,73,2,5,65,False,False
6466,Punxsutawney Area Hospital,Punxsutawney,PA,40.9436303,-78.971078,Jefferson County,1017,833,766,74,8,True,False
3197,Renewal Surgery Center,Lone Tree,CO,39.5360997,-104.8963682,Douglas County,834,533,245,26,181,False,True
6482,Community Health Centers of Pinellas,St Petersburg,FL,27.7703796,-82.6695085,Pinellas County,965,86,33,6,44,True,False
8296,Ivy Lane Pediatrics,Ogden,UT,41.2230048,-111.9738429,Weber County,192,161,43,11,140,True,True
6636,Huntsville Memorial Hospital,Huntsville,TX,30.7235263,-95.5507771,Walker County,206,115,80,8,23,True,True
3135,WVU Medicine,Morgantown,WV,39.6296809,-79.9559437,Monongalia County,482,477,467,47,271,True,False
3171,Tidewater Physicians Multispecialty Group,Newport News,VA,36.9775016,-76.42977,Newport News,288,144,23,12,129,False,False
3119, Hospital for Special Care,New Britain,CT,41.6796456,-72.78834682,Hartford County,661,158,80,3,91,False,False
6396,United Health Services,Binghamton,NY,42.0987125,-75.9125262,Broome County,332,215,36,10,124,True,True
6760,Nor-Lea General Hospital,Lovington,NM,32.9442913,-103.3484348,Lea County,174,59,9,4,24,True,True
3157,Phoebe Putney Health System,Albany,GA,31.5782062,-84.1556809,Dougherty County,619,241,175,24,62,True,True
6373,Mercy Medical Center - Maryland,Baltimore,MD,39.2908816,-76.610759,,156,88,49,4,21,True,False
6490,Prioricare Staffing Solutions,Spearfish,SD,44.490817,-103.85937,Lawrence County,527,42,11,2,15,False,True
