original_Restaurant,original_Chef(s),original_Cuisine,original_Location,original_FirstStar,original_SecondStar,original_ThirdStar,original_Current,original_ZipCode,lat,lon,formatted,postcode,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url,original___parsed_extra
Chef's Table at Brooklyn Fare,Cesar Ramirez,"Seafood, Omakase-style",New York City,,2011,2012-2022,,10018,40.754143735,-73.990434161,"Manhattan (New York), NY 10018, United States of America",10018,Manhattan,New York,,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
Daniel,Daniel Boulud,French,New York City,,"2006-2010, 2016-present",2011-2015,2,10065,40.766032626,-73.964695044,"Manhattan (New York), NY 10065, United States of America",10065,Manhattan,New York,,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
Jean-Georges,Mark LaPico,French,New York City,,2018-present,2006-2017,2,10023,40.776914406,-73.981139928,"Manhattan (New York), NY 10023, United States of America",10023,Manhattan,New York,,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
Saison,Richard Lee,New American,San Francisco,2011,"2012-2014, 2019-2023",2015-2018,2,94107,37.78421985,-122.403139105,"San Francisco, CA 94107, United States of America",94107,,San Francisco,,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
Alinea,"Grant Achatz, Doug Alley",Molecular Gastronomy,Chicago,,,2011-present,3,60614,41.922416645,-87.651334876,"Chicago, IL 60614, United States of America",60614,,Chicago,Cook County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
SingleThread,Kyle Connaughton,Japanese and New American,"Healdsburg, California",,2018,2019-present,3,95448,38.611714643,-122.877457554,"Sonoma County, CA 95448, United States of America",95448,,,Sonoma County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
Le Bernardin,"Eric Ripert,Chris Muller,Eric Gestel",French,New York City,,,2006-present,3,10019,40.763507156,-73.986092574,"Manhattan (New York), NY 10019, United States of America",10019,Manhattan,New York,,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
Per Se,"Thomas Keller, Corey Chow",New American,New York City,,,2006-present,3,10019,40.763507156,-73.986092574,"Manhattan (New York), NY 10019, United States of America",10019,Manhattan,New York,,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
Masa,Masa Takayama,Japanese and sushi,New York City,,2006-2008,2009-present,3,10019,40.763507156,-73.986092574,"Manhattan (New York), NY 10019, United States of America",10019,Manhattan,New York,,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
Eleven Madison Park,"Daniel Humm, Brian Lockwood",Plant-based Contemporary American,New York City,2010-2011,,2012-present,3,10010,40.739840418,-73.985120891,"Manhattan (New York), NY 10010, United States of America",10010,Manhattan,New York,,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
Addison,William Bradley,California,San Diego,2019,2021,2022-present,3,92130,32.941681937,-117.211135013,"San Diego, CA 92130, United States of America",92130,,San Diego,San Diego County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
Atelier Crenn,Dominique Crenn,French,San Francisco,2012,2013-2018,2019-present,3,94123,37.798884432,-122.431437641,"San Francisco, CA 94123, United States of America",94123,,San Francisco,,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
Benu,"Corey Lee, Brandon Rodgers",Asian-inspired New American,San Francisco,,2012-2014,2015-present,3,94105,37.78848092,-122.397089358,"San Francisco, CA 94105, United States of America",94105,,San Francisco,,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
Quince,"Michael Tusk, Neil Stetz",Contemporary Californian & Italian,San Francisco,2006-2013,2014-2016,2017-present,3,94133,37.798611972,-122.409720546,"San Francisco, CA 94133, United States of America",94133,,San Francisco,,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
The Inn at Little Washington,Patrick O'Connell,Nouveau American,"Washington, Virginia",,2017-2018,2019-present,3,22747,38.708544942,-78.159953819,"Washington, VA 22747, United States of America",22747,,Washington,Rappahannock County,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
The French Laundry,"Thomas Keller, David Breeden",French with California influences,"Yountville, California",,,2007-present,3,94599,38.39610658,-122.362881975,"Yountville, CA 94599, United States of America",94599,,Yountville,Napa County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
Smyth,John Shields,Contemporary,Chicago,2017,2018-2022,2023,3,60607,41.877123137,-87.651789323,"Chicago, IL 60607, United States of America",60607,,Chicago,Cook County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,
